StationNumber,Lat,Lon,Address,State,City,County,Zip
999999,29.533,-98.262,"E Perimeter Rd, Schertz, TX 78154, USA",TX,Schertz,Bexar County,78154
999999,29.35,-98.45,"7803 S New Braunfels, Brooks City Base, TX 78235, USA",TX,San Antonio,Bexar County,78235
999999,28.783,-97.083,"2283 Old Goliad Rd, Victoria, TX 77905, USA",TX,Victoria,Victoria County,77905
999999,28.725,-96.254,"Palacios Municipal Airport-PSX, 3 R. B. Trull Blvd, Palacios, TX 77465, USA",TX,Palacios,Matagorda County,77465
999999,28.457,-99.218,"Cotulla, TX 78014, USA",TX,Cotulla,,78014
999999,27.7,-97.433,"3025 Cabaniss Pkwy, Corpus Christi, TX 78415, USA",TX,Corpus Christi,Nueces County,78415
999999,28.333,-96.45,"Calhoun County, TX, USA",TX,,Calhoun County,
999999,30.183,-97.68,"Austin-Bergstrom International Airport (AUS), 3600 Presidential Blvd, Austin, TX 78719, USA",TX,Austin,Travis County,78719
999999,30.667,-96.55,"6335 Steel Store Rd, Bryan, TX 77807, USA",TX,Bryan,Brazos County,77807
999999,32.433,-99.85,"Dyess AFB, Tye, TX 79563, USA",TX,Tye,Taylor County,79563
999999,32.75,-96.967,"2600 E Main St, Grand Prairie, TX 75050, USA",TX,Grand Prairie,Dallas County,75050
999999,31.633,-97.067,"Unnamed Road, Waco, TX 76705, USA",TX,Waco,McLennan County,76705
999999,30.511,-99.766,"440 US-83, Junction, TX 76849, USA",TX,Junction,Kimble County,76849
999999,32.354,-95.403,"700 Skyway Blvd, Tyler, TX 75704, USA",TX,Tyler,Smith County,75704
999999,29.367,-100.783,"US-90, Laughlin AFB, TX 78843, USA",TX,Laughlin Air Force Base,Val Verde County,78843
999999,31.4,-100.4,"Goat Rd, San Angelo, TX 76904, USA",TX,San Angelo,Tom Green County,76904
999999,31.833,-106.4,"Railroad Ave, Fort Bliss, TX 79918, USA",TX,Fort Bliss,El Paso County,79918
999999,31.811,-106.376,"George Perry Blvd, El Paso, TX 79925, USA",TX,El Paso,El Paso County,79925
999999,31.831,-104.809,"Unnamed Road, Salt Flat, TX 79847, USA",TX,,Culberson County,79847
999999,35.533,-100.967,"613 W Foster Ave, Pampa, TX 79065, USA",TX,Pampa,Gray County,79065
999999,31.75,-105.083,"Unnamed Road, Salt Flat, TX 79847, USA",TX,,Hudspeth County,79847
999999,34.95,-100.933,"Ranch Rd 2362, Clarendon, TX 79226, USA",TX,Clarendon,Donley County,79226
999999,30.371,-104.017,"Unnamed Road, Marfa, TX 79843, USA",TX,Marfa,Presidio County,79843
999999,36.017,-102.55,"Hartley County, TX, USA",TX,,Hartley County,
999999,32.819,-97.361,"Fort Worth, TX 76106, USA",TX,Fort Worth,Tarrant County,76106
